@relation churn-4000-v8_0.25

@attribute CreditScore[g][mv1.5][i] numeric
@attribute Geography[mv2] {France,Spain,Germany}
@attribute Gender[mv1.5] {Female,Male}
@attribute Age[c][mv2][i] numeric
@attribute Tenure[c][mv1.5][i] numeric
@attribute Balance[g][mv2] numeric
@attribute NumOfProducts[m][mv1.5][i] numeric
@attribute HasCrCard[mv2] {0,1}
@attribute IsActiveMember[g][mv1.5] {0,1}
@attribute EstimatedSalary[g][mv2] numeric
@attribute Exited[c][mv2] {0,1}

@data
?,France,Female,45,1,?,2,1,?,199657.46,0
718,France,Male,37,?,?,2,1,1,142.81,0
497,Germany,Female,55,?,?,?,?,1,9972.64,0
?,Germany,Female,42,?,88324.31,2,?,?,75248.75,0
782,?,Female,35,?,?,1,1,?,119565.34,0
?,France,Male,21,?,?,?,1,?,?,0
582,France,Male,29,0,?,?,1,0,142516.35,0
577,Spain,Male,35,5,?,1,1,1,109794.31,0
554,France,Female,?,7,92606.86,2,?,0,192709.69,0
584,?,Male,32,9,85534.83,1,0,0,169137.24,0
762,?,Female,43,?,134204.67,1,1,?,139971.01,0
452,France,?,30,?,112935.87,1,1,?,?,0
?,France,Female,41,4,?,1,1,?,128246.81,0
?,France,Female,43,10,147832.15,?,0,1,24234.11,0
706,Spain,Male,42,9,0,2,1,1,28714.34,0
566,?,?,34,?,0,?,?,0,188135.69,0
581,?,Female,46,?,?,2,?,0,104272.04,0
616,France,?,18,6,0,2,1,1,?,0
789,France,?,32,7,69423.52,?,1,0,107499.39,0
696,Spain,Male,24,9,0,1,0,0,10883.52,0
733,France,Male,64,3,0,2,1,1,75272.63,0
545,?,Male,?,7,?,2,0,?,156598.23,0
513,Spain,Male,88,10,0,2,?,1,52952.24,0
838,France,?,34,8,?,2,1,0,27472.07,0
629,Spain,Female,30,2,34013.63,1,1,0,?,0
678,France,Female,?,?,0,?,0,0,115068.99,0
?,Spain,?,23,10,70417.79,1,0,1,90896.04,0
?,?,Female,38,3,0,2,1,0,?,0
?,Spain,Male,54,0,?,?,?,1,13404.4,0
695,Spain,Male,32,9,?,3,0,1,38533.79,0
717,?,Female,22,6,101060.25,?,0,1,?,0
?,France,Male,35,9,112392.45,?,?,0,24472.23,0
593,France,Male,?,4,?,?,0,0,10828.78,0
?,France,Female,21,7,?,?,?,0,175743.92,0
655,France,Female,45,?,57327.04,1,0,1,47349,0
?,Germany,?,43,9,108589.47,2,0,1,?,0
762,Spain,?,?,6,0,2,?,0,55500.17,0
?,France,Male,?,4,160652.45,2,1,?,?,0
538,Germany,Female,42,1,98548.62,2,0,1,94047.75,0
654,Spain,Female,?,5,0,?,0,0,?,0
?,?,Female,35,7,147285.52,?,1,1,57807.05,0
?,Germany,?,28,1,?,2,1,1,167973.63,0
?,France,Male,32,6,160485.16,1,1,0,29023.03,0
684,France,Male,?,0,?,2,1,?,36376.97,0
685,France,?,33,6,0,?,0,1,186785.01,0
523,Spain,Male,?,7,?,2,1,0,62030.06,0
797,France,Female,?,8,0,?,0,0,?,0
515,Spain,?,?,10,121355.99,?,1,0,138360.29,0
653,?,Female,42,?,?,2,1,1,5768.32,0
732,France,Male,?,?,0,2,?,1,?,0
693,?,Male,?,7,?,?,1,1,14278.18,0
?,France,Male,30,?,146301.31,1,0,0,96847.91,0
814,France,Female,31,6,87772.52,1,1,?,188516.45,0
749,Germany,Female,?,?,?,2,0,0,?,0
743,?,Male,?,6,?,2,1,0,?,0
?,France,Male,?,7,0,1,0,0,74593.84,0
550,France,Male,44,9,0,2,?,0,26257.01,0
804,?,Female,71,8,?,2,0,1,147995.96,0
?,France,Male,45,?,43134.65,1,0,1,77330.35,0
?,?,Female,?,1,113452.66,1,?,?,142911.99,0
850,France,?,?,6,0,2,1,1,13159.9,0
?,Germany,Male,?,6,166824.59,?,1,0,?,0
445,Germany,Female,34,7,131082.17,2,?,1,70618,0
?,France,?,41,9,0,2,?,?,13871.34,0
467,France,Male,57,1,?,2,1,1,114448.77,0
713,?,Male,?,0,109121.71,1,0,?,167873.49,0
548,France,Female,41,4,?,1,0,1,55672.09,0
570,France,Female,?,4,?,1,1,0,71811.9,0
?,France,Female,?,0,120549.29,2,1,0,175722.31,0
?,?,Male,?,4,72252.64,2,?,1,?,0
?,Spain,Male,?,?,141829.67,1,1,1,92748.16,0
619,?,Female,52,?,124099.13,1,0,0,23904.52,0
667,?,?,?,5,?,2,0,?,57164.19,0
726,Spain,Female,?,2,105473.74,1,?,?,46044.7,0
831,France,?,32,2,146033.62,?,1,0,191260.74,0
?,Germany,?,29,8,127269.75,1,0,?,?,0
753,?,Male,35,3,?,2,1,1,184843.77,0
613,?,Male,?,?,108286.5,?,?,1,114153.44,0
522,Germany,?,32,8,?,?,1,?,165786.1,0
?,?,?,34,?,0,2,1,?,96734.46,0
554,France,?,?,9,135814.7,2,0,0,115091.38,0
722,Spain,Male,37,9,0,?,1,0,31921.95,0
685,Spain,Male,23,5,164902.43,1,0,0,141152.28,0
679,Germany,?,37,8,77373.87,2,0,?,174873.09,0
701,France,Male,?,3,156660.72,2,1,0,45742.42,0
584,Germany,Female,31,6,152622.34,1,1,0,99298.8,0
?,Spain,Female,27,?,135277.96,1,1,?,142200.15,0
525,Spain,Male,?,3,?,1,?,0,?,0
624,France,Male,?,?,0,?,1,?,88407.51,0
722,France,Male,20,6,?,?,1,?,?,0
463,Germany,?,41,8,?,2,1,0,?,0
767,France,?,43,?,?,2,1,?,?,0
850,?,?,?,?,157866.77,1,1,1,18986.12,0
691,?,Male,35,?,0,2,0,1,178038.17,0
669,France,Male,?,1,0,2,0,0,?,0
738,Spain,Male,35,3,0,1,?,1,15650.73,0
?,Spain,Female,38,8,0,2,?,?,95403.41,0
559,?,?,42,?,0,?,1,?,?,0
471,?,Female,?,5,0,?,1,1,22356.97,0
624,Spain,Female,36,10,0,2,0,1,186180.42,0
624,France,Male,37,0,?,2,0,0,112104.55,0
?,France,Female,33,9,0,2,0,?,107221.03,0
426,France,Male,?,9,0,2,1,?,?,0
?,France,Male,37,0,0,2,1,1,?,0
?,Germany,?,?,?,121952.75,?,1,1,?,0
762,Spain,Female,69,9,183744.98,?,1,1,?,0
701,Germany,Male,41,9,164046.1,1,1,?,49405.93,0
682,?,Male,44,3,?,1,0,0,23766.4,0
518,?,Female,45,8,0,?,1,1,36193.07,0
605,Germany,Female,43,8,125338.8,?,1,0,23970.13,0
744,Germany,Male,32,4,?,1,1,?,79812.77,0
806,France,Female,?,1,0,2,0,?,103945.58,0
610,France,Male,?,0,103108.17,1,0,?,125646.82,0
610,Spain,?,29,9,?,?,?,1,83912.24,0
464,Germany,Female,42,3,85679.25,1,1,?,164104.74,0
?,Germany,Female,31,9,110941.93,2,?,0,163484.8,0
?,France,Female,32,?,0,?,1,1,?,0
637,France,Male,27,?,0,2,?,0,?,0
615,France,Male,32,?,0,2,1,1,6225.63,0
825,France,?,29,3,?,2,0,?,71192.82,0
812,France,Male,29,6,0,2,0,0,?,0
776,Germany,Male,?,5,112281.7,1,?,1,89893.6,0
630,?,?,36,8,?,2,1,1,?,0
584,France,Male,49,8,172713.44,1,?,0,113860.81,0
?,?,?,30,6,99785.28,?,0,0,197238.03,0
495,France,Male,?,?,129755.99,1,?,0,172749.65,0
625,Spain,Female,31,?,0,2,1,0,151843.54,0
499,France,Female,?,3,176511.08,1,1,1,?,0
752,France,?,36,7,?,2,?,0,184866.86,0
?,Spain,Male,58,?,?,2,1,?,191419.32,0
787,France,?,51,?,58137.08,1,0,1,142538.31,0
561,France,Male,32,5,0,2,1,0,84871.99,0
501,France,?,41,?,144260.5,1,?,?,172114.67,0
?,France,?,29,9,127414.55,?,?,1,134459.12,0
465,France,Male,?,?,?,?,0,1,?,0
741,France,Female,35,1,0,?,1,0,?,0
483,?,Female,50,9,?,2,1,1,111020.24,0
713,Germany,Male,40,3,114446.84,2,1,1,?,0
487,France,Male,?,6,0,2,1,?,126477.41,0
801,Spain,Female,?,6,0,2,1,1,170008.74,0
724,Germany,?,54,8,172192.49,1,1,1,?,0
472,France,Male,19,9,0,2,1,0,3453.4,0
586,Spain,Male,42,6,?,?,?,?,123410.23,0
565,?,Male,38,?,0,?,0,1,80630.32,0
730,France,?,27,?,0,?,?,1,116081.93,0
601,France,Male,41,?,123971.16,1,0,1,172814.99,0
?,France,Male,39,2,91068.56,1,1,?,26578.69,0
850,France,Female,?,?,71379.53,?,1,1,154000.99,0
?,?,Male,34,?,0,2,0,?,21497.27,0
?,France,Female,41,?,?,?,1,1,101455.07,0
686,France,Female,34,3,123971.51,2,1,0,147794.63,0
803,Germany,Male,34,4,142929.16,2,?,?,114869.56,0
758,Spain,?,56,1,0,2,1,?,10643.38,0
?,?,Male,46,?,?,2,0,1,176276.1,0
?,?,Male,41,0,141749.68,?,?,1,9201.53,0
720,?,Female,?,8,156282.79,1,1,0,?,0
474,?,Male,37,3,98431.37,1,0,0,75698.44,0
656,France,Male,63,8,0,2,0,1,?,0
559,?,Female,?,1,104356.94,2,0,?,54184.06,0
439,France,Male,36,2,165536.28,2,1,1,?,0
?,France,Male,?,?,106486.66,?,0,?,182262.66,0
765,?,Male,36,8,92310.54,2,?,1,72924.56,0
677,France,Female,49,3,0,2,1,1,187811.71,0
663,France,Male,?,9,0,2,1,1,195580.28,0
521,?,Female,40,?,?,1,?,0,?,0
508,France,?,35,1,86893.28,?,0,0,59374.82,0
602,Germany,Female,?,6,158414.85,1,1,1,131886.46,0
622,Spain,Male,36,?,0,?,1,?,104852.6,0
548,France,Male,57,6,76165.65,1,1,1,133537.53,0
438,France,Male,38,2,?,2,1,0,136859.55,0
703,?,Female,40,?,0,2,0,1,?,0
750,Spain,Female,?,2,?,1,0,?,88333.74,0
589,?,Male,46,?,0,?,1,?,170676.67,0
796,?,Female,50,?,?,1,?,1,189414.74,0
637,France,?,36,?,166939.88,1,1,?,72504.76,0
?,Germany,?,33,?,124067.32,1,1,?,77906.87,0
670,Germany,Female,40,2,?,?,0,1,69850.04,0
737,France,Male,45,10,0,2,1,0,1364.54,0
523,Spain,Female,24,5,172231.93,1,0,1,155144.12,0
775,?,Male,?,?,119684.88,2,?,?,74532.02,0
850,Germany,Male,31,?,146587.3,1,?,1,89874.82,0
589,France,Female,46,10,107238.85,?,1,0,37024.28,0
679,France,?,33,?,0,2,0,?,?,0
606,?,Male,40,9,95293.86,2,0,?,96985.58,0
542,?,Female,29,?,0,2,?,?,196651.72,0
716,France,Female,?,?,0,2,1,?,?,0
539,?,Male,39,3,0,?,1,0,36692.17,0
496,France,Female,29,4,0,2,?,?,164806.89,0
600,Germany,Male,?,?,138456.03,2,1,1,?,0
735,France,Male,50,2,0,2,?,1,?,0
530,?,Female,41,4,0,?,?,1,147606.71,0
?,Germany,?,34,8,120018.86,?,1,1,343.38,0
554,Spain,Male,42,1,0,2,0,1,183492.9,0
667,France,Male,27,7,156811.74,1,1,1,149402.59,0
587,Spain,?,41,8,85109.21,1,1,0,1557.82,0
573,France,Male,?,2,128243.03,1,1,1,?,0
644,France,?,40,?,93183.19,?,?,0,73882.49,0
?,France,?,20,4,95830.43,?,1,0,177738.98,0
744,Spain,Male,30,1,128065.12,1,1,0,121525.48,0
665,France,Female,37,?,?,1,0,1,183542.08,0
479,Germany,Female,?,9,123575.51,1,0,1,?,0
535,France,Male,38,8,85982.07,1,1,0,9238.35,0
734,France,Male,34,6,133598.4,1,?,?,13107.24,0
850,France,Male,28,4,0,2,1,?,12409.01,0
643,Spain,?,32,2,0,1,0,0,131301.74,0
585,France,Male,56,4,?,2,1,1,55287.84,0
626,?,Female,29,4,105767.28,?,0,0,?,0
540,Germany,?,37,3,129965.18,1,?,0,19374.08,0
622,Spain,?,26,?,0,2,1,1,124964.82,0
733,France,?,22,5,0,2,1,1,?,0
715,France,Male,21,6,?,1,1,1,173511.72,0
585,France,Female,?,?,?,2,?,1,?,0
670,France,?,22,?,114991.45,?,1,1,37392.56,0
?,France,Female,28,1,0,1,?,1,162428.05,0
712,?,Male,?,7,132767.66,2,1,1,59115.77,0
?,Spain,Male,51,1,122874.74,1,1,1,149648.45,0
775,?,Female,32,?,108698.96,2,1,1,?,0
?,Spain,Male,36,6,0,2,?,?,41291.05,0
803,France,Female,?,6,165526.71,1,1,0,12328.08,0
584,France,Male,26,?,?,2,?,0,147600.54,0
666,Spain,?,43,5,?,2,1,0,29346.1,0
531,Germany,Female,64,?,175754.87,2,1,1,?,0
572,Germany,Female,54,9,97382.53,1,1,1,?,0
691,France,?,50,6,?,1,1,1,2704.98,0
?,France,Female,64,?,69311.16,1,1,1,59237.72,0
524,France,?,?,7,0,?,0,1,147100.72,0
609,France,Male,34,1,0,1,?,1,181177.9,0
?,Germany,Male,?,7,123204.88,?,?,1,?,0
653,Spain,Female,36,3,0,2,?,0,110525.6,0
652,France,Female,40,1,0,?,1,0,?,0
685,?,Female,?,6,?,1,1,1,?,0
673,Germany,Female,34,1,127122.79,?,0,1,76703.1,0
601,?,?,26,8,78892.23,1,1,?,?,0
?,?,Male,41,7,?,1,1,1,137180.95,0
627,Spain,Male,48,1,132759.8,1,1,0,78899.22,0
474,?,Male,45,10,0,2,?,?,172175.9,0
556,Germany,Female,31,1,128663.81,2,?,0,?,0
?,?,Male,50,6,153590.73,2,1,?,130910.78,0
?,Spain,?,34,4,109783.69,?,1,?,134034.32,0
718,France,Female,37,?,?,?,1,1,55100.09,0
732,France,?,?,10,0,2,1,0,154189.08,0
630,Spain,?,49,1,0,?,?,1,?,0
678,France,?,26,1,?,2,1,0,45443.68,0
?,France,Male,?,3,?,1,1,0,95583.45,0
575,France,?,46,1,0,?,1,1,?,0
666,Spain,Male,35,2,104832.49,?,1,?,175015.12,0
684,France,?,?,6,0,2,?,1,94888.6,0
?,?,Female,?,3,151233.62,1,0,0,199336.63,0
577,France,Male,37,?,127261.35,1,1,0,?,0
581,France,?,37,?,0,2,1,1,74320.75,0
532,France,Male,36,4,0,2,?,1,132798.78,0
707,France,?,73,6,66573.17,1,?,1,62768.8,0
590,Spain,Male,?,7,125265.61,1,1,?,?,0
?,France,Male,34,5,0,2,1,?,?,0
531,France,Male,44,?,0,2,?,?,34416.79,0
?,Germany,Female,28,3,152264.81,1,?,0,64242.31,0
?,Spain,Male,41,4,0,1,0,1,149278.96,0
?,Germany,?,41,4,?,?,?,0,?,0
?,France,Male,46,5,?,2,1,0,179908.71,0
666,France,Male,36,3,0,2,?,?,35156.54,0
684,France,Male,35,6,135871.5,1,?,1,87219.41,0
512,?,Male,33,3,176666.62,1,1,0,94670.77,0
593,France,Male,?,9,114193.24,1,1,0,71154.1,0
633,Germany,?,?,8,104944.1,?,1,1,97684.46,0
648,Germany,Female,45,?,118886.55,1,0,?,51636.7,0
557,France,Male,33,3,54503.55,?,?,1,?,0
675,France,Male,69,1,0,2,1,?,157097.09,0
?,Germany,Male,22,7,?,2,?,0,10541.38,0
691,Spain,Male,?,3,103000.94,1,1,1,104648.58,0
?,Spain,Female,36,2,0,2,?,1,14721.8,0
581,Spain,Female,50,?,0,2,?,1,?,0
547,France,Female,32,2,0,2,1,0,132002.83,0
?,France,Male,34,5,?,1,?,1,155643.04,0
?,France,Male,?,8,0,2,1,0,61581.2,0
702,France,?,45,9,74989.58,1,?,1,171014.69,0
619,Germany,Male,?,3,?,2,1,?,?,0
?,France,Male,34,8,0,?,?,1,184842.21,0
613,?,?,21,?,?,1,?,1,36560.51,0
591,France,Male,?,9,131765.72,1,?,0,118782.06,0
782,Germany,?,?,7,98556.89,?,1,0,?,0
750,France,Male,37,3,0,?,1,?,16870.2,0
?,France,?,52,7,0,1,1,?,?,0
578,?,Female,35,2,0,?,0,1,26389.92,0
?,France,Male,27,0,0,2,0,1,157891.86,0
634,?,Male,?,8,105302.66,1,1,1,?,0
657,Spain,Male,36,8,0,2,?,1,?,0
717,Spain,Female,39,?,0,2,1,0,?,0
?,Spain,?,37,2,137794.18,2,?,1,75232.02,0
?,France,Male,?,?,0,?,1,0,143706.18,0
?,Germany,?,45,5,?,?,1,0,68794.15,0
?,France,Female,34,?,?,2,?,1,141872.52,0
636,France,Female,?,2,0,2,1,1,23129.46,0
850,France,?,43,4,161256.53,1,1,1,?,0
592,Germany,Female,?,4,?,2,1,0,132801.57,0
?,Germany,Male,34,6,204017.4,2,1,0,109538.35,0
688,Spain,?,?,7,?,2,1,1,113926.31,0
?,?,Male,32,4,?,2,?,1,97628.08,0
518,France,Male,59,5,138772.15,1,0,1,123872,0
491,?,Female,72,6,?,1,?,1,7032.95,0
?,France,Male,44,5,0,2,?,1,9200.54,0
608,Spain,Female,35,?,0,?,?,1,143463.28,0
666,France,Female,59,5,0,2,?,1,?,0
?,France,Male,33,?,134944,1,1,1,117036.38,0
706,France,Male,?,6,94486.47,1,?,?,146949.74,0
710,France,Female,?,?,?,2,1,0,115403.31,0
613,?,Male,30,9,111927.45,?,?,1,175795.87,0
539,Spain,?,38,8,71460.67,2,1,1,10074.05,0
505,?,Female,?,5,114268.85,2,1,1,126728.27,0
771,Spain,?,?,5,0,2,0,1,92914.67,0
?,?,?,?,7,165610.41,2,?,?,131852.01,0
?,?,Male,40,8,?,?,1,1,67998.45,0
?,Germany,Female,42,4,80380.24,1,1,0,119216.46,0
656,?,Male,45,5,?,?,1,0,87107.57,0
656,France,Female,45,?,145933.27,1,1,1,?,0
649,France,Male,47,1,0,2,1,?,145593.85,0
546,France,Female,30,5,?,?,0,1,?,0
652,Spain,?,?,6,123081.84,2,1,1,188657.97,0
698,France,Male,?,5,?,2,0,1,39755,0
565,?,?,?,6,106192.1,1,1,0,149575.59,0
608,?,?,33,?,?,2,1,0,70705.58,0
619,France,Female,?,8,132292.63,1,1,?,65682.93,0
727,Spain,?,31,10,96997.09,2,?,0,?,0
?,France,Male,40,8,125470.81,?,?,?,174536.17,0
615,Spain,?,41,1,?,1,1,1,?,0
439,France,?,66,9,?,1,1,0,65535.56,0
541,France,Male,29,7,?,1,0,0,86173.92,0
642,Germany,Female,?,3,113905.48,1,1,?,?,0
798,France,?,34,9,154495.79,1,1,?,191395.88,0
?,Germany,Male,?,6,70349.48,2,?,1,178074.04,0
683,?,Female,?,0,157829.12,1,0,0,?,0
529,Spain,Male,31,6,0,1,1,0,10625.91,0
?,France,Female,39,4,?,2,0,1,47455.82,0
509,Spain,Male,41,7,126683.8,1,0,1,?,0
699,France,Male,?,3,125689.29,?,1,1,?,0
760,?,Male,?,5,103607.24,2,0,?,86334.64,0
721,?,Male,40,3,?,1,?,1,144874.67,0
?,Germany,Male,?,6,92366.72,2,1,?,120661.71,0
751,France,Male,29,3,?,1,?,0,39934.41,0
493,Spain,Female,?,7,0,?,1,0,48545.1,0
500,?,Male,?,7,?,2,0,0,192013.23,0
?,Spain,Male,40,7,74896.92,1,1,0,198694.2,0
661,France,?,?,9,0,?,1,1,84174.81,0
707,France,Female,55,?,0,?,0,?,54409.48,0
754,Spain,?,19,?,0,?,1,0,189641.11,0
655,?,Female,38,?,?,1,?,?,?,0
?,?,Male,36,5,73194.99,1,?,1,89222.66,0
647,Spain,Male,47,?,105603.21,2,1,1,?,0
632,France,?,44,?,107764.75,1,1,0,185667.72,0
714,France,Female,?,?,0,1,?,1,86733.61,0
?,?,Male,36,2,85996.19,?,1,0,15887.68,0
?,Germany,?,58,?,?,1,1,1,?,0
811,?,Male,40,?,101514.89,?,1,1,?,0
?,France,Male,?,3,74896.33,?,0,0,34430.16,0
611,France,?,40,8,100812.33,2,1,0,?,0
636,France,Male,44,2,0,2,0,0,86414.41,0
?,Spain,Male,39,?,?,2,?,0,99654.13,0
623,Spain,Female,43,4,123536.52,2,?,0,154908.52,0
683,France,?,47,1,?,2,1,?,148989.15,0
611,France,Male,64,9,0,?,?,?,53277.15,0
476,France,Male,40,6,0,1,?,1,22735.45,0
449,France,Male,?,?,0,?,0,?,123622,0
603,?,?,34,?,0,2,1,0,167916.35,0
481,Spain,Male,39,1,111233.09,1,1,1,123995.15,0
644,Germany,Male,?,9,137774.11,2,?,0,?,0
686,Spain,Male,38,?,111484.88,1,1,1,76076.2,0
?,France,Male,39,4,0,2,1,0,27150.35,0
667,?,Male,48,?,0,?,?,?,43229.2,0
580,Germany,Male,35,9,121355.19,1,0,1,35671.45,0
659,France,Male,67,4,145981.87,1,1,1,131043.2,0
707,Spain,Female,53,6,109663.47,1,1,1,52110.45,0
?,?,Male,29,4,121823.4,2,1,?,50368.87,0
679,France,Male,48,?,?,2,1,0,23344.94,0
797,France,Male,24,5,0,2,1,0,?,0
700,France,Female,82,?,0,?,?,1,182055.36,0
565,?,Male,46,?,135369.71,1,0,?,?,0
840,France,?,43,?,?,?,1,?,90908.95,0
747,France,?,29,7,0,?,?,?,141706.43,0
684,France,Female,?,1,0,2,0,1,144978.47,0
623,France,?,24,7,148167.83,2,1,1,109470.34,0
633,France,?,32,1,104001.38,?,0,1,?,0
655,Spain,?,78,?,0,2,?,1,?,0
555,?,Male,33,1,56084.69,2,0,0,?,0
?,?,Female,38,3,0,2,1,0,116466.19,0
?,Spain,Male,27,2,0,2,1,?,?,0
?,France,Female,46,7,98752.51,1,1,0,145560.38,0
?,Spain,Female,33,3,122134.4,2,0,1,27867.59,0
574,France,?,33,8,?,1,1,?,103006.27,0
620,?,Male,?,9,121490.05,1,?,1,29296.74,0
766,?,Male,32,6,185714.28,1,1,1,102502.5,0
627,?,Male,41,3,0,2,?,0,132719.8,0
?,?,Female,66,5,149950.19,1,1,1,?,0
?,France,Male,34,9,?,2,0,0,14121.61,0
491,?,Female,36,0,53369.13,1,1,1,?,0
?,Germany,Female,39,4,182491.57,?,?,0,185830.72,0
656,Germany,?,27,3,150905.03,2,?,0,16998.72,0
422,France,?,?,?,?,1,?,?,11663.09,0
?,Germany,Female,31,1,61592.14,2,1,1,?,0
731,?,Male,35,?,127862.93,2,?,?,139083.7,0
657,?,Male,75,?,126273.95,1,0,?,?,0
850,Spain,Female,23,?,?,1,0,?,62980.96,0
720,France,Male,33,9,0,2,1,1,142956.48,0
737,?,Female,45,2,0,?,?,1,177695.67,0
779,Spain,Female,26,4,174318.13,2,?,1,38296.21,0
717,?,?,28,?,82498.14,?,0,?,40437.67,0
?,Spain,Male,50,1,78737.61,1,?,1,13018.96,0
743,Germany,Male,39,3,119695.75,1,0,?,26136.13,0
658,?,?,24,2,0,2,1,1,84694.49,0
640,France,Female,?,9,117565.03,2,0,0,?,0
712,Germany,?,53,?,134729.99,2,?,1,132702.64,0
659,Germany,Male,39,8,?,2,1,1,?,0
607,France,Female,?,?,102523.88,1,?,1,166792.71,0
?,France,Male,38,4,0,?,?,?,?,0
850,France,Male,68,5,169445.4,1,1,1,?,0
660,Spain,Female,36,0,?,1,1,?,181449.51,0
744,Spain,Male,31,0,117551.23,?,1,0,?,0
?,France,Male,27,3,0,2,?,1,?,0
810,France,Male,33,6,0,2,1,1,77965.67,0
?,Spain,Male,22,10,0,2,1,0,176163.74,0
579,France,?,27,9,0,2,?,0,126838.7,0
587,Spain,Female,35,3,83286.56,1,?,0,125553.52,0
602,?,Male,38,2,71667.97,2,0,?,?,0
?,France,Female,?,6,92436.86,1,1,0,?,0
?,?,?,68,?,0,?,1,1,?,0
?,France,Female,?,?,?,2,1,1,154337.47,0
?,Germany,?,35,6,98585.94,2,0,1,?,0
715,Spain,Male,38,2,96798.79,?,1,?,4554.67,0
850,Spain,?,39,6,133214.13,1,0,?,20769.88,0
797,?,Male,59,?,129321.44,1,1,1,93624.55,0
850,France,Female,38,0,?,1,0,?,148977.72,0
512,France,Male,24,?,0,2,?,?,37654.31,0
581,France,Male,38,?,?,?,1,0,46176.22,0
544,Spain,?,30,?,145241.63,1,1,1,80676.83,0
?,Germany,Male,36,?,102603.3,?,1,1,180693.61,0
?,Germany,Male,?,9,133060.63,?,1,1,?,0
?,France,Female,?,1,0,2,?,0,135795.53,0
673,?,Female,25,3,108244.82,2,1,1,103573.96,0
602,Germany,Male,35,?,90602.42,2,1,1,51695.41,0
?,Spain,?,32,4,132835.56,1,?,0,?,0
786,France,Female,29,4,0,2,1,?,103372.79,0
724,?,Female,34,3,132352.69,1,1,0,80320.3,0
820,France,?,36,4,0,2,?,0,31422.69,0
642,France,?,55,7,0,2,1,1,?,0
750,?,Male,42,8,?,2,1,0,68695.38,0
651,Germany,Female,?,2,?,2,1,0,114566.47,0
470,Spain,Male,31,?,55732.92,2,1,1,103792.53,0
?,France,?,41,?,91328.71,?,1,0,115724.78,0
633,Spain,Male,?,6,?,?,1,1,132034.13,0
?,?,Male,?,1,190569.23,?,0,1,?,0
628,?,Female,33,3,?,1,1,1,188193.25,0
489,France,?,31,7,139395.08,?,0,1,6120.84,0
?,France,?,?,1,147249.29,2,?,1,?,0
664,France,Male,?,9,0,2,?,0,194767.3,0
516,France,?,?,2,104982.57,?,1,0,157378.5,0
690,France,Male,36,7,101583.11,2,?,0,123775.15,0
559,?,?,34,2,137390.11,?,?,0,9677,0
681,?,Female,?,?,?,1,0,0,114659.81,0
565,France,Female,?,1,0,2,?,1,?,0
518,France,Female,27,1,133801.49,1,?,1,143315.57,0
?,France,Male,19,6,0,2,1,1,151581.79,0
494,Spain,Male,?,5,?,2,1,1,85890.16,0
559,France,Female,70,9,0,1,?,1,?,0
746,Germany,Female,33,2,107868.14,?,1,1,146192.4,0
510,France,Male,?,2,0,2,1,1,48071.61,0
775,Germany,Female,77,6,135120.56,1,1,?,?,0
538,Spain,Male,?,5,0,2,1,0,126933.73,0
?,Germany,?,40,?,104149.66,1,?,0,62027.9,0
652,Spain,Male,71,4,0,1,1,1,120107.1,0
649,?,Female,41,3,130931.83,1,1,1,144808.37,0
506,Germany,Female,?,3,?,1,1,0,4035.46,0
?,?,Male,48,0,148116.48,1,?,0,116973.48,0
?,France,Female,40,1,0,?,?,0,?,0
607,Spain,?,32,7,?,?,?,1,?,0
629,Germany,Male,28,?,108601,1,1,1,?,0
670,?,Male,35,2,124268.64,2,?,1,84321.03,0
562,Germany,Male,?,3,142296.13,1,?,1,177112.7,0
636,Germany,?,?,?,141787.31,?,?,?,?,0
850,France,Female,34,9,92899.27,2,1,0,?,0
571,France,Female,?,8,0,?,0,0,84569.13,0
656,France,Female,30,4,74323.2,1,1,1,22929.08,0
453,?,Female,28,3,139986.65,1,1,?,?,0
?,France,Male,45,6,148071.39,1,?,0,?,0
766,France,?,27,7,?,2,0,1,47579.25,0
?,France,Male,27,1,62092.9,?,?,1,105887.04,0
572,France,Male,24,1,0,2,1,?,151460.84,0
502,Germany,?,33,?,174673.65,2,?,0,33300.56,0
646,?,Female,36,6,?,2,1,0,53217.3,0
536,France,Male,32,7,178011.5,2,1,?,22375.14,0
597,France,Male,45,7,0,2,0,0,167756.45,0
573,?,Female,?,8,154543.98,1,?,0,29586.73,0
615,?,Male,43,3,?,1,?,?,150048.37,0
825,France,?,40,6,132308.22,1,0,0,117122.5,0
625,Spain,Male,52,8,121161.57,1,1,?,48988.28,0
635,Germany,Female,?,4,81556.89,2,1,?,191914.37,0
729,France,Female,?,?,0,2,?,0,150803.44,0
641,?,Female,?,5,66392.64,1,?,0,31106.67,0
633,France,Male,31,1,0,1,1,0,48606.71,0
688,France,Male,?,8,137624.4,2,1,1,?,0
640,Spain,Female,32,6,118879.35,2,?,?,19131.71,0
614,France,Male,36,1,118311.76,1,?,0,146134.68,0
555,France,Male,?,?,?,?,1,0,137491.23,0
630,?,?,21,1,85818.18,1,1,1,?,0
767,?,Female,34,8,0,2,1,0,?,0
795,Germany,Female,33,9,130862.43,1,1,?,?,0
614,?,?,41,?,123475.04,?,1,?,179227.52,0
672,France,Female,?,1,142151.75,?,1,?,168753.34,0
?,France,Female,46,4,96173.17,2,?,1,116378.31,0
?,Spain,?,27,?,172463.45,?,1,1,40315.27,0
